pin,slack
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[47]:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[47]:CLK,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[47]:D,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[47]:Q,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[47]:SLn,16176
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/genblk1.cnt0[12]:ALn,16494
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/genblk1.cnt0[12]:CLK,9047
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/genblk1.cnt0[12]:D,11793
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/genblk1.cnt0[12]:EN,9855
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/genblk1.cnt0[12]:Q,9047
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_0[22]:A,14363
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_0[22]:B,14263
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_0[22]:C,12746
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_0[22]:D,12656
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_0[22]:Y,12656
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rdwr_cmd[3]:ALn,16494
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rdwr_cmd[3]:CLK,14128
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rdwr_cmd[3]:D,9746
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rdwr_cmd[3]:EN,15079
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rdwr_cmd[3]:Q,14128
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr_RNI1PV01[6]:B,13409
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr_RNI1PV01[6]:FCI,13225
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr_RNI1PV01[6]:FCO,13225
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wbinaddr_RNI1PV01[6]:S,13494
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/actable_shift_57_m2[7]:A,12677
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/actable_shift_57_m2[7]:B,16427
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/actable_shift_57_m2[7]:C,14771
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/actable_shift_57_m2[7]:Y,12677
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[63]:A,16112
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[63]:B,17537
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[63]:C,14708
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[63]:D,15407
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[63]:Y,14708
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[63]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[63]:CLK,17538
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[63]:D,18655
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[63]:EN,16767
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/rdch_write_data_r[63]:Q,17538
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIF4U04[0]:A,17637
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIF4U04[0]:B,17053
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIF4U04[0]:C,15397
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIF4U04[0]:D,10068
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIF4U04[0]:Y,10068
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M[3]:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M[3]:CLK,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M[3]:D,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M[3]:Q,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M[3]:SLn,16176
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.0.openbank_r1_i/rc_shift_30[0]:A,17326
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.0.openbank_r1_i/rc_shift_30[0]:B,17545
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.0.openbank_r1_i/rc_shift_30[0]:Y,17326
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.BVALID_M_INPFF1:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.BVALID_M_INPFF1:CLK,17531
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.BVALID_M_INPFF1:D,17358
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.BVALID_M_INPFF1:Q,17531
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[61]:A,17169
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[61]:B,17105
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[61]:C,17485
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[61]:D,17374
top_sb_0/MSS_SMC_0/RDATA_reg_RNO[61]:Y,17105
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/rw_p.rwable_shift_7[0]:A,15252
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/rw_p.rwable_shift_7[0]:B,17545
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/rw_p.rwable_shift_7[0]:C,17223
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/rw_p.rwable_shift_7[0]:Y,15252
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[11]:ALn,16494
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[11]:CLK,16323
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[11]:D,18655
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[11]:EN,13991
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[11]:Q,16323
top_sb_0/COREAXI_0/genblk23.slave_stage16/genblk1.WDATA_S[11]:SLn,9261
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:IPA,
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:IPB,
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/UWA_ARBITER/m54_0_a2:A,16986
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/UWA_ARBITER/m54_0_a2:B,13991
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/UWA_ARBITER/m54_0_a2:C,16855
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wa_channel/genblk1.inst_wrmatrix_4Mto1S/UWA_ARBITER/m54_0_a2:Y,13991
top_sb_0/MSS_SMC_0/WDATA_mux_3[24]:A,17273
top_sb_0/MSS_SMC_0/WDATA_mux_3[24]:B,17529
top_sb_0/MSS_SMC_0/WDATA_mux_3[24]:C,16038
top_sb_0/MSS_SMC_0/WDATA_mux_3[24]:D,16973
top_sb_0/MSS_SMC_0/WDATA_mux_3[24]:Y,16038
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/pending_wrm0_waddr_iv_0_0_a2[2]:A,11545
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/pending_wrm0_waddr_iv_0_0_a2[2]:B,16359
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/pending_wrm0_waddr_iv_0_0_a2[2]:Y,11545
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_ra_channel/genblk1.inst_rdmatrix_4Mto1S/genblk1.ARLEN_IS_int_3[2]:A,17375
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_ra_channel/genblk1.inst_rdmatrix_4Mto1S/genblk1.ARLEN_IS_int_3[2]:B,17545
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_ra_channel/genblk1.inst_rdmatrix_4Mto1S/genblk1.ARLEN_IS_int_3[2]:Y,17375
top_sb_0/CORERESETP_0/mss_ready_select:ALn,18506
top_sb_0/CORERESETP_0/mss_ready_select:CLK,17637
top_sb_0/CORERESETP_0/mss_ready_select:EN,17447
top_sb_0/CORERESETP_0/mss_ready_select:Q,17637
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_88:A,7002
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_88:B,14616
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_88:C,6875
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_88:Y,6875
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/burstcount_dec_xhdl64_3_sqmuxa_3:A,6840
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/burstcount_dec_xhdl64_3_sqmuxa_3:B,6854
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/burstcount_dec_xhdl64_3_sqmuxa_3:C,5603
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/burstcount_dec_xhdl64_3_sqmuxa_3:D,6578
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/burstcount_dec_xhdl64_3_sqmuxa_3:Y,5603
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_145:IPA,
top_sb_0/COREAXI_0/genblk3.master_stage0/WSTRB_MI[6]:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/WSTRB_MI[6]:CLK,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/WSTRB_MI[6]:D,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/WSTRB_MI[6]:EN,16416
top_sb_0/COREAXI_0/genblk3.master_stage0/WSTRB_MI[6]:Q,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem2_mem2_0_0/CFG_1:IPC,
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/U_RDCH_RAM/mem1_mem1_0_1/FF_32:IPENn,
top_sb_0/MSS_SMC_0/WDATA_mux_31[16]:A,16467
top_sb_0/MSS_SMC_0/WDATA_mux_31[16]:B,16367
top_sb_0/MSS_SMC_0/WDATA_mux_31[16]:C,16206
top_sb_0/MSS_SMC_0/WDATA_mux_31[16]:D,16038
top_sb_0/MSS_SMC_0/WDATA_mux_31[16]:Y,16038
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_0[9]:A,14363
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_0[9]:B,14263
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_0[9]:C,12746
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_0[9]:D,12656
top_sb_0/MSS_SMC_0/raddr_reg_9_1_iv_0[9]:Y,12656
top_sb_0/MSS_SMC_0/RDATA_reg[13]:ALn,16494
top_sb_0/MSS_SMC_0/RDATA_reg[13]:CLK,16550
top_sb_0/MSS_SMC_0/RDATA_reg[13]:D,18631
top_sb_0/MSS_SMC_0/RDATA_reg[13]:EN,16863
top_sb_0/MSS_SMC_0/RDATA_reg[13]:Q,16550
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/timer[1]:ALn,16494
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/timer[1]:CLK,16038
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/timer[1]:D,16286
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/timer[1]:Q,16038
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[24]:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[24]:CLK,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[24]:D,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[24]:Q,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[24]:SLn,16176
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[57]:ALn,16494
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[57]:CLK,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[57]:D,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[57]:Q,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[57]:SLn,9115
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[9]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[9]:CLK,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[9]:D,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[9]:Q,18655
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_o4[13]:A,12394
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_o4[13]:B,13494
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_o4[13]:C,12076
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_o4[13]:D,12081
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_o4[13]:Y,12076
top_sb_0/COREAHBLTOAXI_0/U_AXItoAHB_sync/synchronizer_0[1]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_AXItoAHB_sync/synchronizer_0[1]:CLK,18655
top_sb_0/COREAHBLTOAXI_0/U_AXItoAHB_sync/synchronizer_0[1]:D,18647
top_sb_0/COREAHBLTOAXI_0/U_AXItoAHB_sync/synchronizer_0[1]:Q,18655
top_sb_0/MSS_SMC_0/WDATA_mux_3[19]:A,17273
top_sb_0/MSS_SMC_0/WDATA_mux_3[19]:B,17529
top_sb_0/MSS_SMC_0/WDATA_mux_3[19]:C,16038
top_sb_0/MSS_SMC_0/WDATA_mux_3[19]:D,16973
top_sb_0/MSS_SMC_0/WDATA_mux_3[19]:Y,16038
top_sb_0/MSS_SMC_0/RDATA_reg[7]:ALn,16494
top_sb_0/MSS_SMC_0/RDATA_reg[7]:CLK,16200
top_sb_0/MSS_SMC_0/RDATA_reg[7]:D,18631
top_sb_0/MSS_SMC_0/RDATA_reg[7]:EN,16863
top_sb_0/MSS_SMC_0/RDATA_reg[7]:Q,16200
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem1_mem1_0_0/CFG_14:B,18727
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem1_mem1_0_0/CFG_14:C,18700
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem1_mem1_0_0/CFG_14:IPB,18727
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem1_mem1_0_0/CFG_14:IPC,18700
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_58:A,6907
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_58:B,14711
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_58:C,6780
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/Gen_Empty.fifo_empty_xhdl3_0_I_58:Y,6780
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wgraynext[24]:A,13406
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wgraynext[24]:B,13333
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wgraynext[24]:Y,13333
top_sb_0/top_sb_MSS_0/GPIO_GPIO_22_BI_PAD/U_IOINFF:A,
top_sb_0/top_sb_MSS_0/GPIO_GPIO_22_BI_PAD/U_IOINFF:Y,
top_sb_0/MSS_SMC_0/RDATA_reg[3]:ALn,16494
top_sb_0/MSS_SMC_0/RDATA_reg[3]:CLK,16550
top_sb_0/MSS_SMC_0/RDATA_reg[3]:D,18631
top_sb_0/MSS_SMC_0/RDATA_reg[3]:EN,16863
top_sb_0/MSS_SMC_0/RDATA_reg[3]:Q,16550
top_sb_0/MSS_SMC_0/alen_reg_RNI8PVB[1]:A,10425
top_sb_0/MSS_SMC_0/alen_reg_RNI8PVB[1]:B,10361
top_sb_0/MSS_SMC_0/alen_reg_RNI8PVB[1]:C,9988
top_sb_0/MSS_SMC_0/alen_reg_RNI8PVB[1]:D,9833
top_sb_0/MSS_SMC_0/alen_reg_RNI8PVB[1]:Y,9833
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/waddr_gray[9]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/waddr_gray[9]:CLK,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/waddr_gray[9]:D,14949
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/waddr_gray[9]:Q,18655
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rsync2_wptr[11]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rsync2_wptr[11]:CLK,14654
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rsync2_wptr[11]:D,18655
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/rsync2_wptr[11]:Q,14654
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wsync2_rptr[15]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wsync2_rptr[15]:CLK,16227
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wsync2_rptr[15]:D,18655
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/wsync2_rptr[15]:Q,16227
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/SDATASELInt_RNO[0]:A,14482
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/SDATASELInt_RNO[0]:B,14410
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/SDATASELInt_RNO[0]:C,14310
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/SDATASELInt_RNO[0]:D,12053
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/SDATASELInt_RNO[0]:Y,12053
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[11]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[11]:CLK,18655
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[11]:D,16001
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/waddr_gray[11]:Q,18655
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_2[1]:A,16000
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_2[1]:B,16220
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_2[1]:C,13401
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_2[1]:D,13193
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_i_2[1]:Y,13193
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/act_p.0.un96_rdwr_cmd_2_0:A,15449
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/act_p.0.un96_rdwr_cmd_2_0:B,15326
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/act_p.0.un96_rdwr_cmd_2_0:C,15311
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/act_p.0.un96_rdwr_cmd_2_0:D,15199
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/act_p.0.un96_rdwr_cmd_2_0:Y,15199
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/fifo_empty_xhdl3:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/fifo_empty_xhdl3:CLK,10700
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/fifo_empty_xhdl3:D,12833
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/fifo_empty_xhdl3:Q,10700
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPA,
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPB,
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[9]:ALn,16494
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[9]:CLK,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[9]:D,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[9]:Q,18655
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/inst_wd_channel/genblk5.WDATA_IS[9]:SLn,9115
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv[16]:A,15579
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv[16]:B,11416
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv[16]:C,12116
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv[16]:D,10953
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv[16]:Y,10953
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/raddr_gray[8]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/raddr_gray[8]:CLK,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/raddr_gray[8]:D,9826
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/raddr_gray[8]:Q,18655
BA_obuf[0]/U0/U_IOENFF:A,
BA_obuf[0]/U0/U_IOENFF:Y,
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/un2_hburst_sync_3:A,6856
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/un2_hburst_sync_3:B,6798
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/un2_hburst_sync_3:C,6569
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/un2_hburst_sync_3:D,5217
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/un2_hburst_sync_3:Y,5217
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/timer[3]:ALn,16494
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/timer[3]:CLK,16076
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/timer[3]:D,16239
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/timer[3]:Q,16076
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[61]:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[61]:CLK,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[61]:D,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[61]:Q,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk8.RDATA_M_int[61]:SLn,16176
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[1]:A,14860
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[1]:B,17521
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/RDATA_IM_RNO[1]:Y,14860
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_174:IPA,
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_174:IPB,
