pin,slack
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/actable_shift_57[3]:Y,13600
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rc_p.un72_rw_1.bterm_p.bterm_cmd_3_u_0_a3_0_1:A,16619
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rc_p.un72_rw_1.bterm_p.bterm_cmd_3_u_0_a3_0_1:B,16511
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rc_p.un72_rw_1.bterm_p.bterm_cmd_3_u_0_a3_0_1:C,16426
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rc_p.un72_rw_1.bterm_p.bterm_cmd_3_u_0_a3_0_1:D,16307
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/rc_p.un72_rw_1.bterm_p.bterm_cmd_3_u_0_a3_0_1:Y,16307
DQ_iobuf[5]/U0/U_IOPAD:D,
DQ_iobuf[5]/U0/U_IOPAD:E,
DQ_iobuf[5]/U0/U_IOPAD:PAD,
DQ_iobuf[5]/U0/U_IOPAD:Y,
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/latchahbcmd_undef_r:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/latchahbcmd_undef_r:CLK,17123
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/latchahbcmd_undef_r:D,2801
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/latchahbcmd_undef_r:Q,17123
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[8]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[8]:CLK,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[8]:D,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/wsync1_rptr[8]:Q,18655
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rddata_r[47]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rddata_r[47]:CLK,15251
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rddata_r[47]:D,18380
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rddata_r[47]:EN,17637
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rddata_r[47]:Q,15251
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/un1_pending_wrm0_waddr8_1_0_a3_0_a2:A,10276
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/un1_pending_wrm0_waddr8_1_0_a3_0_a2:B,10219
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/un1_pending_wrm0_waddr8_1_0_a3_0_a2:C,10139
